2025/03/27 23:14:44 GET /
2025/03/27 23:14:49 GET /wiki/
2025/03/27 23:15:01 GET /wiki/:id/ aticle id: 18
2025/03/27 23:15:04 GET /wiki/:id/suggestions/ article id: 18
2025/03/27 23:15:15 GET /wiki/:id/ aticle id: 21
2025/03/27 23:16:28 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "g": invalid syntax
2025/03/27 23:18:05 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "g": invalid syntax
2025/03/27 23:26:23 GET /wiki/:id/ error with getting article: record not found
2025/03/27 23:27:26 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "';%20truncate%20users;": invalid syntax
2025/03/27 23:27:49 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "';%20truncate%20users;": invalid syntax
2025/03/27 23:28:23 GET /wiki/
2025/03/27 23:28:38 GET /wiki/
2025/03/27 23:29:50 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "; truncate users;": invalid syntax
2025/03/27 23:29:52 GET /wiki/:id/ error with parsing id: strconv.Atoi: parsing "; truncate users;": invalid syntax
2025/03/27 23:32:20 GET /wiki/:id/ error with getting article: record not found
2025/03/27 23:32:42 GET /wiki/:id/ aticle id: 19
2025/03/28 00:34:23 GET /wiki/
2025/03/28 00:34:27 GET /wiki/:id/	aticle id: 19
2025/03/28 00:34:29 GET /wiki/:id/suggestions/	article id: 19
2025/03/28 00:34:34 GET /wiki/
2025/03/28 00:34:36 GET /wiki/:id/	aticle id: 18
2025/03/28 00:34:38 GET /wiki/:id/suggestions/	article id: 18
2025/03/28 00:34:40 GET /wiki/:id/	aticle id: 25
2025/03/28 00:34:43 GET /wiki/:id/suggestions/	article id: 18
2025/03/28 00:34:45 GET /wiki/:id/	aticle id: 24
2025/03/28 00:34:47 GET /wiki/:id/suggestions/	article id: 24
2025/03/28 00:34:49 GET /wiki/:id/	aticle id: 25
2025/03/28 00:53:38 GET /wiki/:id/suggestions/	article id: 25
2025/03/28 00:54:00 GET /wiki/
2025/03/28 00:54:04 GET /wiki/:id/	aticle id: 26
2025/03/28 00:57:06 POST /wiki/:id/like/	article id: 26 user id: 10 like added
2025/03/28 00:57:10 GET /wiki/:id/	aticle id: 26
2025/03/28 01:27:14 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:29:19 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:31:30 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:35:35 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:39:07 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:39:29 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:39:30 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:39:43 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:39:45 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:43:26 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:43:47 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:44:14 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:46:00 POST /wiki/:id/like/	article id: 26 user id: 0 like added
2025/03/28 01:46:06 POST /wiki/:id/like/	article id: 26 user id: 0 like reseted
2025/03/28 01:46:09 POST /wiki/:id/like/	article id: 26 user id: 0 like added
2025/03/28 01:46:11 POST /wiki/:id/like/	article id: 26 user id: 0 like reseted
2025/03/28 01:46:12 POST /wiki/:id/like/	article id: 26 user id: 0 like added
2025/03/28 01:46:13 POST /wiki/:id/like/	article id: 26 user id: 0 like reseted
2025/03/28 01:51:36 POST /wiki/:id/like/	article id: 26 user id: 0 like added
2025/03/28 01:51:49 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:52:43 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:52:47 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:54:30 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:55:03 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:55:04 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:55:34 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 01:55:35 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 02:01:27 POST /wiki/:id/like/	error with finding user: empty token
2025/03/28 02:01:30 POST /wiki/:id/like/	error with finding user: empty token
2025/03/28 02:03:45 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 02:04:32 GET /wiki/:id/	aticle id: 26
2025/03/28 02:04:35 GET /wiki/:id/suggestions/	article id: 26
2025/03/28 02:04:48 POST /wiki/:id/like/	article id: 26 user id: 11 like added
2025/03/28 02:05:07 GET /wiki/:id/	aticle id: 26
2025/03/28 02:05:19 POST /wiki/:id/like/	article id: 26 user id: 10 like already was added
2025/03/28 02:05:31 GET /wiki/:id/	aticle id: 26
2025/03/28 02:05:49 POST /wiki/:id/like/	article id: 26 user id: 11 like reseted
2025/03/28 02:07:35 GET /wiki/:id/	aticle id: 26
2025/03/28 02:07:41 GET /wiki/
2025/03/28 02:08:01 POST /wiki/:id/like/	article id: 27 user id: 11 like added
2025/03/28 02:08:04 GET /wiki/
2025/03/28 02:08:47 GET /wiki/:id/	aticle id: 26
2025/03/28 02:09:36 POST /wiki/:id/suggestions/	article id: 31
2025/03/28 02:09:40 GET /wiki/:id/suggestions/	article id: 26
2025/03/28 02:09:45 GET /wiki/:id/suggestions/	article id: 26
2025/03/28 02:10:23 GET /wiki/:id/suggestions/	article id: 26
2025/03/28 02:10:32 GET /wiki/
2025/03/28 02:10:42 GET /wiki/:id/	aticle id: 31
2025/03/28 02:13:40 POST /wiki/:id/suggestions/	error with parsing data: code=400, message=Syntax error: offset=188, error=invalid character '}' looking for beginning of object key string, internal=invalid character '}' looking for beginning of object key string
2025/03/28 02:13:47 GET /wiki/:id/	aticle id: 26
2025/03/28 02:13:49 GET /wiki/:id/suggestions/	article id: 26
